macro_category,subcategory,characteristic,required
Elettronica,Smartphone,Modello,false
Elettronica,Smartphone,Colore,false
Elettronica,Smartphone,Materiale,false
Elettronica,Smartphone,Dimensioni,false
Elettronica,Smartphone,Peso,false
Elettronica,Smartphone,Sistema operativo,false
Elettronica,Smartphone,RAM,false
Elettronica,Smartphone,Memoria interna,false
Elettronica,Smartphone,Dimensione display,false
Elettronica,Smartphone,Risoluzione display,false
Elettronica,Smartphone,Fotocamera,false
Elettronica,Smartphone,Connettività,false
Elettronica,Smartphone,5G,false
Elettronica,Smartphone,Dual SIM,false
Elettronica,Smartphone,Capacità batteria,false
Elettronica,Smartphone,Tipo connettore,false
Elettronica,Custodie smartphone,Modello,false
Elettronica,Custodie smartphone,Colore,false
Elettronica,Custodie smartphone,Materiale,false
Elettronica,Custodie smartphone,Dimensioni,false
Elettronica,Custodie smartphone,Peso,false
Elettronica,Custodie smartphone,Sistema operativo,false
Elettronica,Custodie smartphone,RAM,false
Elettronica,Custodie smartphone,Memoria interna,false
Elettronica,Custodie smartphone,Dimensione display,false
Elettronica,Custodie smartphone,Risoluzione display,false
Elettronica,Custodie smartphone,Fotocamera,false
Elettronica,Custodie smartphone,Connettività,false
Elettronica,Custodie smartphone,5G,false
Elettronica,Custodie smartphone,Dual SIM,false
Elettronica,Custodie smartphone,Capacità batteria,false
Elettronica,Custodie smartphone,Tipo connettore,false
Elettronica,Custodie smartphone,Compatibilità,false
Elettronica,Custodie smartphone,Dimensione compatibile,false
Elettronica,Custodie smartphone,Tipo chiusura,false
Elettronica,Custodie smartphone,Protezione,false
Elettronica,Caricabatterie,Modello,false
Elettronica,Caricabatterie,Colore,false
Elettronica,Caricabatterie,Materiale,false
Elettronica,Caricabatterie,Dimensioni,false
Elettronica,Caricabatterie,Peso,false
Elettronica,Caricabatterie,Potenza,false
Elettronica,Caricabatterie,Tensione ingresso,false
Elettronica,Caricabatterie,Tensione uscita,false
Elettronica,Caricabatterie,Corrente uscita,false
Elettronica,Caricabatterie,Numero porte,false
Elettronica,Caricabatterie,Tipo connettore,false
Elettronica,Caricabatterie,Ricarica rapida,false
Elettronica,Caricabatterie,Compatibilità,false
Elettronica,Power bank,Modello,false
Elettronica,Power bank,Colore,false
Elettronica,Power bank,Materiale,false
Elettronica,Power bank,Dimensioni,false
Elettronica,Power bank,Peso,false
Elettronica,Power bank,Capacità batteria,false
Elettronica,Power bank,Potenza uscita,false
Elettronica,Power bank,Numero porte,false
Elettronica,Power bank,Tipo connettore,false
Elettronica,Power bank,Ricarica rapida,false
Elettronica,Power bank,Indicatore carica,false
Elettronica,Laptop,Modello,false
Elettronica,Laptop,Colore,false
Elettronica,Laptop,Materiale,false
Elettronica,Laptop,Dimensioni,false
Elettronica,Laptop,Peso,false
Elettronica,Laptop,Sistema operativo,false
Elettronica,Laptop,Processore,false
Elettronica,Laptop,RAM,false
Elettronica,Laptop,Memoria/Storage,false
Elettronica,Laptop,Tipo storage,false
Elettronica,Laptop,Scheda grafica,false
Elettronica,Laptop,Dimensione display,false
Elettronica,Laptop,Risoluzione display,false
Elettronica,Laptop,Porte,false
Elettronica,Laptop,Wi-Fi,false
Elettronica,Laptop,Bluetooth,false
Elettronica,Laptop,Batteria,false
Elettronica,Notebook gaming,Modello,false
Elettronica,Notebook gaming,Colore,false
Elettronica,Notebook gaming,Materiale,false
Elettronica,Notebook gaming,Dimensioni,false
Elettronica,Notebook gaming,Peso,false
Elettronica,Notebook gaming,Sistema operativo,false
Elettronica,Notebook gaming,Processore,false
Elettronica,Notebook gaming,RAM,false
Elettronica,Notebook gaming,Memoria/Storage,false
Elettronica,Notebook gaming,Tipo storage,false
Elettronica,Notebook gaming,Scheda grafica,false
Elettronica,Notebook gaming,Dimensione display,false
Elettronica,Notebook gaming,Risoluzione display,false
Elettronica,Notebook gaming,Porte,false
Elettronica,Notebook gaming,Wi-Fi,false
Elettronica,Notebook gaming,Bluetooth,false
Elettronica,Notebook gaming,Batteria,false
Elettronica,Tablet,Modello,false
Elettronica,Tablet,Colore,false
Elettronica,Tablet,Materiale,false
Elettronica,Tablet,Dimensioni,false
Elettronica,Tablet,Peso,false
Elettronica,Tablet,Sistema operativo,false
Elettronica,Tablet,RAM,false
Elettronica,Tablet,Memoria interna,false
Elettronica,Tablet,Dimensione display,false
Elettronica,Tablet,Risoluzione display,false
Elettronica,Tablet,Connettività,false
Elettronica,Tablet,Wi-Fi,false
Elettronica,Tablet,Bluetooth,false
Elettronica,Tablet,Batteria,false
Elettronica,eReader,Modello,false
Elettronica,eReader,Colore,false
Elettronica,eReader,Materiale,false
Elettronica,eReader,Dimensioni,false
Elettronica,eReader,Peso,false
Elettronica,eReader,Sistema operativo,false
Elettronica,eReader,RAM,false
Elettronica,eReader,Memoria interna,false
Elettronica,eReader,Dimensione display,false
Elettronica,eReader,Risoluzione display,false
Elettronica,eReader,Connettività,false
Elettronica,eReader,Wi-Fi,false
Elettronica,eReader,Bluetooth,false
Elettronica,eReader,Batteria,false
Elettronica,Monitor,Modello,false
Elettronica,Monitor,Colore,false
Elettronica,Monitor,Materiale,false
Elettronica,Monitor,Dimensioni,false
Elettronica,Monitor,Peso,false
Elettronica,Monitor,Dimensione display,false
Elettronica,Monitor,Risoluzione,false
Elettronica,Monitor,Tecnologia pannello,false
Elettronica,Monitor,Refresh rate,false
Elettronica,Monitor,Tempo di risposta,false
Elettronica,Monitor,Luminosità,false
Elettronica,Monitor,Formato schermo,false
Elettronica,Monitor,Porte video,false
Elettronica,Monitor,VESA,false
Elettronica,Stampanti,Modello,false
Elettronica,Stampanti,Colore,false
Elettronica,Stampanti,Materiale,false
Elettronica,Stampanti,Dimensioni,false
Elettronica,Stampanti,Peso,false
Elettronica,Stampanti,Tecnologia di stampa,false
Elettronica,Stampanti,Colore/Monocromatica,false
Elettronica,Stampanti,Formato carta,false
Elettronica,Stampanti,Risoluzione stampa,false
Elettronica,Stampanti,Velocità stampa,false
Elettronica,Stampanti,Fronte-retro,false
Elettronica,Stampanti,Connettività,false
Elettronica,Stampanti,Wi-Fi,false
Elettronica,Stampanti,Scanner integrato,false
Elettronica,Scanner,Modello,false
Elettronica,Scanner,Colore,false
Elettronica,Scanner,Materiale,false
Elettronica,Scanner,Dimensioni,false
Elettronica,Scanner,Peso,false
Elettronica,Scanner,Tipologia scanner,false
Elettronica,Scanner,Formato massimo,false
Elettronica,Scanner,Risoluzione ottica,false
Elettronica,Scanner,Velocità scansione,false
Elettronica,Scanner,Alimentatore automatico,false
Elettronica,Scanner,Connettività,false
Elettronica,Tastiere,Modello,false
Elettronica,Tastiere,Colore,false
Elettronica,Tastiere,Materiale,false
Elettronica,Tastiere,Dimensioni,false
Elettronica,Tastiere,Peso,false
Elettronica,Tastiere,Layout,false
Elettronica,Tastiere,Tipo tasti/switch,false
Elettronica,Tastiere,Connessione,false
Elettronica,Tastiere,Wireless,false
Elettronica,Tastiere,Retroilluminazione,false
Elettronica,Tastiere,Compatibilità,false
Elettronica,Tastiere,Alimentazione,false
Elettronica,Mouse,Modello,false
Elettronica,Mouse,Colore,false
Elettronica,Mouse,Materiale,false
Elettronica,Mouse,Dimensioni,false
Elettronica,Mouse,Peso,false
Elettronica,Mouse,Connessione,false
Elettronica,Mouse,Wireless,false
Elettronica,Mouse,DPI,false
Elettronica,Mouse,Numero tasti,false
Elettronica,Mouse,Sensore,false
Elettronica,Mouse,Ergonomia,false
Elettronica,Mouse,Compatibilità,false
Elettronica,Mouse,Alimentazione,false
Elettronica,Webcam,Modello,false
Elettronica,Webcam,Colore,false
Elettronica,Webcam,Materiale,false
Elettronica,Webcam,Dimensioni,false
Elettronica,Webcam,Peso,false
Elettronica,Webcam,Risoluzione video,false
Elettronica,Webcam,Frame rate,false
Elettronica,Webcam,Messa a fuoco,false
Elettronica,Webcam,Microfono integrato,false
Elettronica,Webcam,Campo visivo,false
Elettronica,Webcam,Connessione,false
Elettronica,Webcam,Compatibilità,false
Elettronica,TV,Modello,false
Elettronica,TV,Colore,false
Elettronica,TV,Materiale,false
Elettronica,TV,Dimensioni,false
Elettronica,TV,Peso,false
Elettronica,TV,Dimensione schermo,false
Elettronica,TV,Risoluzione,false
Elettronica,TV,Tecnologia display,false
Elettronica,TV,Smart TV,false
Elettronica,TV,Sistema operativo,false
Elettronica,TV,HDR,false
Elettronica,TV,Refresh rate,false
Elettronica,TV,HDMI,false
Elettronica,TV,Wi-Fi,false
Elettronica,TV,Classe energetica,false
Elettronica,Smart TV,Modello,false
Elettronica,Smart TV,Colore,false
Elettronica,Smart TV,Materiale,false
Elettronica,Smart TV,Dimensioni,false
Elettronica,Smart TV,Peso,false
Elettronica,Smart TV,Dimensione schermo,false
Elettronica,Smart TV,Risoluzione,false
Elettronica,Smart TV,Tecnologia display,false
Elettronica,Smart TV,Smart TV,false
Elettronica,Smart TV,Sistema operativo,false
Elettronica,Smart TV,HDR,false
Elettronica,Smart TV,Refresh rate,false
Elettronica,Smart TV,HDMI,false
Elettronica,Smart TV,Wi-Fi,false
Elettronica,Smart TV,Classe energetica,false
Elettronica,Proiettori,Modello,false
Elettronica,Proiettori,Colore,false
Elettronica,Proiettori,Materiale,false
Elettronica,Proiettori,Dimensioni,false
Elettronica,Proiettori,Peso,false
Elettronica,Proiettori,Alimentazione,false
Elettronica,Proiettori,Potenza,false
Elettronica,Proiettori,Connettività,false
Elettronica,Proiettori,Compatibilità,false
Elettronica,Proiettori,Garanzia,false
Elettronica,Cuffie,Modello,false
Elettronica,Cuffie,Colore,false
Elettronica,Cuffie,Materiale,false
Elettronica,Cuffie,Dimensioni,false
Elettronica,Cuffie,Peso,false
Elettronica,Cuffie,Tipologia,false
Elettronica,Cuffie,Connessione,false
Elettronica,Cuffie,Bluetooth,false
Elettronica,Cuffie,Cancellazione rumore,false
Elettronica,Cuffie,Microfono,false
Elettronica,Cuffie,Autonomia,false
Elettronica,Cuffie,Impedenza,false
Elettronica,Cuffie,Risposta in frequenza,false
Elettronica,Auricolari,Modello,false
Elettronica,Auricolari,Colore,false
Elettronica,Auricolari,Materiale,false
Elettronica,Auricolari,Dimensioni,false
Elettronica,Auricolari,Peso,false
Elettronica,Auricolari,Tipologia,false
Elettronica,Auricolari,Connessione,false
Elettronica,Auricolari,Bluetooth,false
Elettronica,Auricolari,Cancellazione rumore,false
Elettronica,Auricolari,Microfono,false
Elettronica,Auricolari,Autonomia,false
Elettronica,Auricolari,Impedenza,false
Elettronica,Auricolari,Risposta in frequenza,false
Elettronica,Speaker Bluetooth,Modello,false
Elettronica,Speaker Bluetooth,Colore,false
Elettronica,Speaker Bluetooth,Materiale,false
Elettronica,Speaker Bluetooth,Dimensioni,false
Elettronica,Speaker Bluetooth,Peso,false
Elettronica,Speaker Bluetooth,Potenza,false
Elettronica,Speaker Bluetooth,Canali audio,false
Elettronica,Speaker Bluetooth,Connessione,false
Elettronica,Speaker Bluetooth,Bluetooth,false
Elettronica,Speaker Bluetooth,Wi-Fi,false
Elettronica,Speaker Bluetooth,Risposta in frequenza,false
Elettronica,Speaker Bluetooth,Alimentazione,false
Elettronica,Console,Modello,false
Elettronica,Console,Colore,false
Elettronica,Console,Materiale,false
Elettronica,Console,Dimensioni,false
Elettronica,Console,Peso,false
Elettronica,Console,Alimentazione,false
Elettronica,Console,Potenza,false
Elettronica,Console,Connettività,false
Elettronica,Console,Compatibilità,false
Elettronica,Console,Garanzia,false
Elettronica,Accessori console,Modello,false
Elettronica,Accessori console,Colore,false
Elettronica,Accessori console,Materiale,false
Elettronica,Accessori console,Dimensioni,false
Elettronica,Accessori console,Peso,false
Elettronica,Accessori console,Alimentazione,false
Elettronica,Accessori console,Potenza,false
Elettronica,Accessori console,Connettività,false
Elettronica,Accessori console,Compatibilità,false
Elettronica,Accessori console,Garanzia,false
Elettronica,Videogiochi,Modello,false
Elettronica,Videogiochi,Colore,false
Elettronica,Videogiochi,Materiale,false
Elettronica,Videogiochi,Dimensioni,false
Elettronica,Videogiochi,Peso,false
Elettronica,Videogiochi,Alimentazione,false
Elettronica,Videogiochi,Potenza,false
Elettronica,Videogiochi,Connettività,false
Elettronica,Videogiochi,Compatibilità,false
Elettronica,Videogiochi,Garanzia,false
Elettronica,Fotocamere reflex,Modello,false
Elettronica,Fotocamere reflex,Colore,false
Elettronica,Fotocamere reflex,Materiale,false
Elettronica,Fotocamere reflex,Dimensioni,false
Elettronica,Fotocamere reflex,Peso,false
Elettronica,Fotocamere reflex,Tipologia sensore,false
Elettronica,Fotocamere reflex,Risoluzione sensore,false
Elettronica,Fotocamere reflex,Obiettivo/Attacco,false
Elettronica,Fotocamere reflex,Zoom,false
Elettronica,Fotocamere reflex,Stabilizzazione,false
Elettronica,Fotocamere reflex,Risoluzione video,false
Elettronica,Fotocamere reflex,ISO,false
Elettronica,Fotocamere reflex,Connettività,false
Elettronica,Fotocamere reflex,Memoria supportata,false
Elettronica,Mirrorless,Modello,false
Elettronica,Mirrorless,Colore,false
Elettronica,Mirrorless,Materiale,false
Elettronica,Mirrorless,Dimensioni,false
Elettronica,Mirrorless,Peso,false
Elettronica,Mirrorless,Alimentazione,false
Elettronica,Mirrorless,Potenza,false
Elettronica,Mirrorless,Connettività,false
Elettronica,Mirrorless,Compatibilità,false
Elettronica,Mirrorless,Garanzia,false
Elettronica,Obiettivi,Modello,false
Elettronica,Obiettivi,Colore,false
Elettronica,Obiettivi,Materiale,false
Elettronica,Obiettivi,Dimensioni,false
Elettronica,Obiettivi,Peso,false
Elettronica,Obiettivi,Attacco,false
Elettronica,Obiettivi,Lunghezza focale,false
Elettronica,Obiettivi,Apertura massima,false
Elettronica,Obiettivi,Stabilizzazione,false
Elettronica,Obiettivi,Autofocus,false
Elettronica,Obiettivi,Diametro filtro,false
Elettronica,Droni,Modello,false
Elettronica,Droni,Colore,false
Elettronica,Droni,Materiale,false
Elettronica,Droni,Dimensioni,false
Elettronica,Droni,Peso,false
Elettronica,Droni,Alimentazione,false
Elettronica,Droni,Potenza,false
Elettronica,Droni,Connettività,false
Elettronica,Droni,Compatibilità,false
Elettronica,Droni,Garanzia,false
Elettronica,Action cam,Modello,false
Elettronica,Action cam,Colore,false
Elettronica,Action cam,Materiale,false
Elettronica,Action cam,Dimensioni,false
Elettronica,Action cam,Peso,false
Elettronica,Action cam,Alimentazione,false
Elettronica,Action cam,Potenza,false
Elettronica,Action cam,Connettività,false
Elettronica,Action cam,Compatibilità,false
Elettronica,Action cam,Garanzia,false
Elettronica,Smartwatch,Modello,false
Elettronica,Smartwatch,Colore,false
Elettronica,Smartwatch,Materiale,false
Elettronica,Smartwatch,Dimensioni,false
Elettronica,Smartwatch,Peso,false
Elettronica,Smartwatch,Tipo display,false
Elettronica,Smartwatch,Dimensione display,false
Elettronica,Smartwatch,Sistema operativo,false
Elettronica,Smartwatch,Compatibilità smartphone,false
Elettronica,Smartwatch,GPS,false
Elettronica,Smartwatch,Sensori,false
Elettronica,Smartwatch,Resistenza acqua,false
Elettronica,Smartwatch,Connettività,false
Elettronica,Smartwatch,Autonomia,false
Elettronica,Fitness tracker,Modello,false
Elettronica,Fitness tracker,Colore,false
Elettronica,Fitness tracker,Materiale,false
Elettronica,Fitness tracker,Dimensioni,false
Elettronica,Fitness tracker,Peso,false
Elettronica,Fitness tracker,Tipo display,false
Elettronica,Fitness tracker,Dimensione display,false
Elettronica,Fitness tracker,Sistema operativo,false
Elettronica,Fitness tracker,Compatibilità smartphone,false
Elettronica,Fitness tracker,GPS,false
Elettronica,Fitness tracker,Sensori,false
Elettronica,Fitness tracker,Resistenza acqua,false
Elettronica,Fitness tracker,Connettività,false
Elettronica,Fitness tracker,Autonomia,false
Elettronica,Domotica,Modello,false
Elettronica,Domotica,Colore,false
Elettronica,Domotica,Materiale,false
Elettronica,Domotica,Dimensioni,false
Elettronica,Domotica,Peso,false
Elettronica,Domotica,Alimentazione,false
Elettronica,Domotica,Potenza,false
Elettronica,Domotica,Connettività,false
Elettronica,Domotica,Compatibilità,false
Elettronica,Domotica,Garanzia,false
Elettronica,Assistenti vocali,Modello,false
Elettronica,Assistenti vocali,Colore,false
Elettronica,Assistenti vocali,Materiale,false
Elettronica,Assistenti vocali,Dimensioni,false
Elettronica,Assistenti vocali,Peso,false
Elettronica,Assistenti vocali,Alimentazione,false
Elettronica,Assistenti vocali,Potenza,false
Elettronica,Assistenti vocali,Connettività,false
Elettronica,Assistenti vocali,Compatibilità,false
Elettronica,Assistenti vocali,Garanzia,false
Elettronica,Sicurezza smart,Modello,false
Elettronica,Sicurezza smart,Colore,false
Elettronica,Sicurezza smart,Materiale,false
Elettronica,Sicurezza smart,Dimensioni,false
Elettronica,Sicurezza smart,Peso,false
Elettronica,Sicurezza smart,Alimentazione,false
Elettronica,Sicurezza smart,Potenza,false
Elettronica,Sicurezza smart,Connettività,false
Elettronica,Sicurezza smart,Compatibilità,false
Elettronica,Sicurezza smart,Garanzia,false
Abbigliamento,Abbigliamento uomo,Modello,false
Abbigliamento,Abbigliamento uomo,Colore,false
Abbigliamento,Abbigliamento uomo,Materiale,false
Abbigliamento,Abbigliamento uomo,Dimensioni,false
Abbigliamento,Abbigliamento uomo,Peso,false
Abbigliamento,Abbigliamento uomo,Genere,false
Abbigliamento,Abbigliamento uomo,Taglia abbigliamento,false
Abbigliamento,Abbigliamento uomo,Composizione,false
Abbigliamento,Abbigliamento uomo,Vestibilità,false
Abbigliamento,Abbigliamento uomo,Stagione,false
Abbigliamento,Abbigliamento donna,Modello,false
Abbigliamento,Abbigliamento donna,Colore,false
Abbigliamento,Abbigliamento donna,Materiale,false
Abbigliamento,Abbigliamento donna,Dimensioni,false
Abbigliamento,Abbigliamento donna,Peso,false
Abbigliamento,Abbigliamento donna,Genere,false
Abbigliamento,Abbigliamento donna,Taglia abbigliamento,false
Abbigliamento,Abbigliamento donna,Composizione,false
Abbigliamento,Abbigliamento donna,Vestibilità,false
Abbigliamento,Abbigliamento donna,Stagione,false
Abbigliamento,Abbigliamento bambino,Modello,false
Abbigliamento,Abbigliamento bambino,Colore,false
Abbigliamento,Abbigliamento bambino,Materiale,false
Abbigliamento,Abbigliamento bambino,Dimensioni,false
Abbigliamento,Abbigliamento bambino,Peso,false
